x   y
6   0
19  24
13  22
8   22
14  23
7   19
22  18
16  12
19  3
20  19
11  9
1   10
19  15
5   14
5   23
22  1
6   6
15  1
2   15
22  11
2   12
1   11
4   13
17  17
15  3
1   2
22  17
21  10
0   4
16  2
16  20
22  16
6   16
18  20
13  14
13  11
21  14
16  10
3   18
15  4
20  21
17  0
8   2
9   17
8   9
18  8
21  21
22  3
18  5
20  17
6   8
3   24
17  21
14  4
9   16
8   8
8   13
16  17
10  8
13  16
20  6
5   9
18  9
18  22
9   1
9   11
21  16
2   21
6   1
15  11
8   21
3   2
13  0
7   17
7   23
9   13
20  9
4   7
4   16
10  3
7   14
21  20
10  0
20  2
21  18
18  23
17  18
17  7
8   23
12  22
19  8
12  1
21  11
11  5
19  10
17  9
20  11
14  0
1   6
6   2
6   24
3   9
3   19
21  5
13  17
22  22
0   10
12  16
8   20
12  11
20  22
17  15
22  2
4   17
13  24
14  22
19  6
20  7
22  20
20  12
11  22
10  10
17  19
8   6
1   24
0   9
21  15
3   22
0   3
17  3
10  11
6   4
1   7
17  1
1   0
7   0
22  7
15  5
16  4
18  16
13  10
4   4
5   17
7   2
14  13
2   22
14  2
2   18
17  12
11  1
21  2
21  23
22  21
5   1
3   7
16  23
20  16
5   15
22  14
12  3
2   2
17  13
3   11
11  4
15  21
11  0
6   5
9   23
16  6
8   0
22  0
10  21
9   14
21  0
3   3
9   3
1   23
3   13
5   10
10  4
6   14
15  7
14  14
15  17
15  24
17  4
8   16
4   0
12  19
1   20
5   13
12  4
4   6
19  2
15  23
9   21
12  13
12  6
10  13
13  15
4   15
15  0
3   6
9   22
4   14
22  13
11  3
11  6
14  1
4   9
12  7
7   15
7   4
21  4
10  17
9   10
19  18
18  2
13  9
21  12
8   3
19  12
18  7
18  10
17  5
14  7
3   5
10  5
13  5
15  18
6   15
17  6
6   3
14  5
18  15
18  19
22  24
22  23
18  1
14  20
12  8
0   18
13  21
17  11
5   2
8   7
15  22
0   16
1   21
11  21
15  19
4   1
16  8
10  7
10  1
5   21
17  20
11  20
16  13
1   12
0   14
3   1
12  12
1   14
16  1
17  22
15  2
13  8
22  6
5   0
14  16
9   2
20  10
14  19
19  19
22  19
18  11
0   20
15  20
5   18
1   9
2   13
14  8
2   4
1   1
2   6
20  18
10  12
14  12
12  14
22  4
11  23
8   12
0   7
10  9
7   22
3   15
5   19
18  17
17  23
12  0
9   5
2   19
17  2
4   8
21  1
5   8
20  23
12  21
5   24
0   11
14  18
3   20
0   1
9   0
4   19
9   15
14  15
16  7
19  4
16  5
19  17
17  24
15  16
9   4
6   21
21  19
2   24
21  24
10  19
11  14
2   17
1   17
0   13
0   12
10  6
15  12
11  19
4   5
5   12
8   18
14  9
16  24
12  17
14  11
1   18
16  3
11  17
6   17
2   23
5   22
11  16
10  20
15  6
16  9
18  4
22  9
5   5
19  7
3   4
16  15
8   4
4   21
18  14
18  18
20  8
7   12
13  19
15  14
21  9
5   3
7   20
6   10
22  12
5   4
10  16
2   3
12  10
11  15
1   16
1   15
15  10
19  5
3   10
19  9
4   12
10  14
16  18
9   19
12  9
13  23
19  11
3   21
0   19
20  24
6   18
2   5
19  13
7   9
21  6
6   22
21  7
12  24
7   16
21  17
11  12
18  12
11  8
7   3
6   23
22  5
12  15
19  1
18  21
2   16
21  8
8   19
14  24
10  24
0   15
0   5
13  4
19  21
21  22
15  13
22  8
8   24
6   7
16  19
14  3
13  18
7   7
15  15
20  1
8   1
10  18
7   10
4   3
0   6
4   2
2   10
19  14
6   13
7   13
1   3
1   5
0   8
20  20
22  15
16  14
21  13
6   12
13  6
4   10
19  20
20  3
12  5
7   8
20  15
20  0
3   8
7   11
17  8
7   6
1   22
15  8
2   8
5   11
0   22
4   18
0   0
13  7
3   14
21  3
4   20
20  5
18  3
13  13
14  6
0   2
11  13
13  2
19  22
10  23
10  15
4   24
9   20
10  22
16  16
18  6
20  14
13  1
17  14
17  10
2   9
5   20
12  18
1   13
7   5
11  10
2   14
9   8
9   12
8   15
1   4
14  21
7   24
14  17
3   16
7   18
11  7
19  23
6   20
19  16
12  2
8   17
20  4
13  3
9   7
7   21
12  23
5   7
2   20
0   23
4   23
8   11
5   16
14  10
1   8
8   14
3   0
16  0
16  11
12  20
3   17
11  2
2   1
13  20
8   5
2   7
11  24
6   9
10  2
9   9
15  9
18  24
22  10
6   11
0   21
18  0
5   6
4   11
18  13
1   19
20  13
13  12
2   0
19  0
9   24
2   11
6   19
3   23
17  16
8   10
3   12
11  11
0   17
16  22
11  18
9   18
0   24
16  21
7   1
4   22
9   6
